"family","species"
Cyprinidae,"Abramis barellus"
Achiridae,"Achirus lineatus"
Acipenseridae,"Acipenser transmontanus"
Cyprinidae,"Alburnus alburnus"
Ammodytidae,"Ammodytes americanus"
Anarhichadidae,"Anarhichas minor"
Engraulidae,"Anchoa lamprotaenia"
Engraulidae,"Anchoa mitchilli"
Sparidae,"Archosargus rhomboidalis"
Centropomidae,"Centropomus parallelus"
Chanidae,"Chanos chanos"
Clariidae,"Clarias lazera"
Clupeidae,"Clupea harengus"
Salmonidae,"Coregonus Schinzi"
Cynoglossidae,"Cynoglossus semilaevis"
Moronidae,"Dicentrarchus labrax"
Engraulidae,"Engraulis mordax"
Esocidae,"Esox lucius"
Gadidae,"Gadus morhua"
Pleuronectidae,"Hippoglossus hippoglossus"
Cyprinidae,"Labeo rohita"
Atherinopsidae,"Leuresthes tenuis"
Gadidae,"Melanogrammus aeglefinus"
Atherinopsidae,"Menidia peninsulae"
Centrarchidae,"Micropterus salmoides"
Moronidae,"Morone americana"
Moronidae,"Morone saxatilis"
Salmonidae,"Oncorhynchus kisutch"
Salmonidae,"Oncorhynchus nerka"
Salmonidae,"Oncorhynchus tshawytscha"
Percidae,"Perca fluviatilis"
Pleuronectidae,"Pleuronectes ferrugineus"
Pleuronectidae,"Pseudopleuronectes americanus"
Rachycentridae,"Rachycentron canadum"
Cyprinidae,"Rutilus rutilus"
Salmonidae,"Salmo fario"
Salmonidae,"Salmo gairdneri"
Salmonidae,"Salmo salar"
Scombridae,"Scomber japonicus"
Scophthalmidae,"Scophthalmus maximus"
Sillaginidae,"Sillago japonica"
Soleidae,"Solea senegalensis"
Soleidae,"Solea solea"
Sparidae,"Sparus aurata"
Gadidae,"Theragra chalcogramma"
