dry_mass_mg,nmolO2_hr,temp_celsius
0.0434,9.0543,13
0.0477,9.3195,13
0.0466,12.9392,13
0.0513,12.9382,13
0.0509,11.3031,13
0.0624,12.4462,13
0.0657,12.0905,13
0.0695,13.9731,13
0.0771,16.305,13
0.0918,18.3043,13
0.0932,20.9521,13
0.1002,21.3591,13
0.1062,20.5493,13
0.101,19.2077,13
0.1443,27.7088,13
0.1575,30.5141,13
0.1669,29.3572,13
0.2493,39.9662,13
0.2548,46.6389,13
0.2905,47.5426,13
0.3013,48.4677,13
0.3694,65.3599,13
0.4151,69.9213,13
0.4433,62.2713,13
0.5128,82.3733,13
0.6619,104.8283,13
0.8479,121.1322,13
1.5527,218.1299,13
1.6578,259.4995,13
1.7195,231.1141,13
2.0935,261.9649,13
2.1086,327.0716,13
2.2187,370.7768,13
2.9485,396.5965,13
3.4864,504.7463,13
3.7498,600.4708,13
4.0928,561.2033,13
6.5726,900.1746,13
8.1797,882.804,13
9.0579,1050.2011,13
10.4032,1179.014,13
12.2129,1249.134,13
11.9478,1429.8705,13
12.9451,1515.0117,13
18.5018,1909.3245,13
46.3412,5306.8239,13
53.6154,5515.0217,13
62.0274,6497.5271,13
86.7302,9018.4918,13
136.2768,12516.3373,13
182.4027,15774.8378,13
0.043,7.3933,10
0.0456,7.3219,10
0.0517,6.2133,10
0.0606,9.7783,10
0.0652,10.261,10
0.0722,11.52,10
0.08,14.107,10
0.0886,13.0577,10
0.0886,14.9466,10
0.0995,14.9453,10
0.1086,17.9518,10
0.153,19.5752,10
0.1757,26.1456,10
0.1757,22.6218,10
0.1989,28.2413,10
0.2642,39.9643,10
0.2842,35.5917,10
0.3804,51.8451,10
0.4803,65.3456,10
0.6524,83.1553,10
0.7017,83.1502,10
0.7384,95.1754,10
1.0946,109.9645,10
1.0554,112.1111,10
1.1687,124.6571,10
1.4436,190.5732,10
1.8769,194.2447,10
2.7216,320.7503,10
2.8643,274.8437,10
3.149,294.0298,10
3.5901,377.8507,10
4.2142,499.8189,10
4.9835,509.4886,10
5.9361,588.7649,10
6.2474,514.332,10
8.0036,713.9392,10
13.5258,1178.7546,10
18.5051,1375.2187,10
28.4469,1964.705,10
31.0466,2142.8323,10
31.2726,2314.8176,10
33.1506,2359.8173,10
39.4841,3151.7877,10
63.4127,4332.1246,10
86.7496,5898.0968,10
101.8245,8347.2657,10
124.8904,7876.2856,10
157.6811,11146.2107,10
0.04,4.8355,7
0.0437,5.8646,7
0.0536,7.0437,7
0.0572,8.3796,7
0.0701,9.5901,7
0.076,9.1378,7
0.086,9.9659,7
0.0946,9.0483,7
0.0892,8.8758,7
0.101,11.8551,7
0.1055,12.4407,7
0.1078,14.2403,7
0.167,14.9388,7
0.1682,17.7729,7
0.1823,18.2938,7
0.308,32.9449,7
0.1932,20.3417,7
0.3537,45.2953,7
0.4062,41.9249,7
0.6066,55.4469,7
0.7828,76.9647,7
0.842,78.4601,7
0.886,84.7542,7
1.2572,100.8044,7
1.5646,116.4852,7
1.5196,121.0729,7
1.6107,138.5816,7
1.7075,127.0462,7
1.784,117.6019,7
2.2688,171.3136,7
2.4226,178.0466,7
3.7508,356.579,7
5.9803,462.545,7
8.2408,667.2841,7
8.9941,700.2223,7
9.8162,734.7864,7
11.6085,727.6268,7
12.3947,857.3117,7
13.3322,857.2593,7
19.4753,1213.0115,7
23.1973,1471.0566,7
53.6343,2833.6093,7
64.8249,3243.0279,7
79.4966,4167.2831,7
116.132,5354.1634,7
136.3197,6880.3395,7
150.9747,6492.6838,7
