hour    , mgO2_kg_h , figLetter , temp_kelvin
3.5146  , 17.4529   , a         , 283.15
6.3798  , 19.9327   , a         , 283.15
9.3166  , 141.694   , a         , 283.15
12.1451 , 180.1968  , a         , 283.15
15.061  , 209.0956  , a         , 283.15
18.0333 , 89.8972   , a         , 283.15
20.9355 , 57.1545   , a         , 283.15
23.9334 , 52.4331   , a         , 283.15
28.8758 , 135.8235  , b         , 289.15
31.7414 , 139.9043  , b         , 289.15
34.7101 , 204.8286  , b         , 289.15
37.6719 , 238.5319  , b         , 289.15
40.5756 , 212.9941  , b         , 289.15
43.517  , 155.4359  , b         , 289.15
46.4655 , 129.8993  , b         , 289.15
49.4645 , 129.9811  , b         , 289.15
