dry_mass_ug,ngO2_hr,larvae_type,obs
82.7276,151.9203,lim-fjord_larvae,
97.4274,172.0373,lim-fjord_larvae,
103.4668,152.5649,lim-fjord_larvae,
105.8189,148.6112,lim-fjord_larvae,
102.7574,132.2612,lim-fjord_larvae,
92.9702,114.637,lim-fjord_larvae,
86.6171,112.9097,lim-fjord_larvae,
178.6585,242.4899,lim-fjord_larvae,
186.9106,219.1148,lim-fjord_larvae,
179.1543,307.2638,lim-fjord_larvae,
183.8917,307.2809,lim-fjord_larvae,
225.6308,349.3109,lim-fjord_larvae,
210.8918,389.4729,lim-fjord_larvae,
355.1917,461.741,lim-fjord_larvae,
275.4403,554.7928,lim-fjord_larvae,
330.3766,682.4301,lim-fjord_larvae,
353.504,596.1687,lim-fjord_larvae,
382.1503,654.9992,lim-fjord_larvae,
408.5041,727.7766,lim-fjord_larvae,
472.4638,719.8409,lim-fjord_larvae,
417.8666,677.6591,lim-fjord_larvae,
450.2392,670.1689,lim-fjord_larvae,
440.3389,647.8519,lim-fjord_larvae,
469.1392,652.8274,lim-fjord_larvae,
442.2797,549.1266,lim-fjord_larvae,
482.0139,513.3058,lim-fjord_larvae,
686.3859,617.5472,lim-fjord_larvae,
716.365,1010.4155,lim-fjord_larvae,
718.8332,1085.2028,lim-fjord_larvae,
306.1045,417.0589,clyde_larvae,
542.3367,725.4842,lim-fjord_larvae,little above the regression line to better match mass from fig1
