days    , ulO2_h
5.0167  , 0.0879
4.9893  , 0.0945
9.0672  , 0.2806
9.0079  , 0.5457
13.0433 , 0.4581
10.1036 , 0.5246
10.1033 , 0.5396
10.103  , 0.5582
10.1293 , 0.5838
10.129  , 0.6109
13.0898 , 1.0201
13.0618 , 1.1812
13.0614 , 1.2287
13.0877 , 1.3
17.0417 , 1.2492
17.0391 , 1.6843
17.0369 , 2.1708
17.0364 , 2.2967
21.0909 , 4.5934
21.0906 , 4.7513
21.0336 , 7.2116
21.0307 , 10.0579
26.0217 , 16.8883
25.9943 , 18.3789
26.9592 , 12.7384
27.0112 , 14.9167
27.0108 , 15.6051
26.9828 , 18.1711
26.9553 , 19.7749
28.0258 , 15.8698
28.0254 , 16.6959
28.0244 , 18.6888
27.9959 , 23.0244
