hours   , umolO2_g_h
7.6556  , 7.656
8.1939  , 9.0082
8.7795  , 9.6076
9.3623  , 11.2209
9.9929  , 11.9125
10.6256 , 11.8359
11.0796 , 11.0066
11.7127 , 10.8225
12.2551 , 10.7459
12.8933 , 8.7184
13.4763 , 10.2549
14.0679 , 8.7189
14.6964 , 10.1325
15.1937 , 10.0252
15.8728 , 9.5185
16.4527 , 12.115
17.0415 , 11.6082
17.6313 , 10.7176
18.1761 , 9.7807
18.8028 , 11.8242
19.3066 , 9.4279
19.8942 , 9.3052
20.5242 , 10.2119
21.1149 , 8.9985
22.2845 , 10.7965
22.8246 , 11.5187
23.4579 , 11.2271
23.999  , 11.5346
24.5882 , 10.905
25.2167 , 12.3494
25.806  , 11.6122
26.3485 , 11.5049
27.0226 , 12.7496
27.5215 , 12.0431
28.0703 , 9.7083
28.6619 , 8.1877
29.2058 , 7.5734
29.7931 , 7.5737
30.381  , 7.3742
30.968  , 7.4974
31.5091 , 7.8202
