"days","ug_o2_h","temp_celsius","mass_mg","growth_mg_day"
45,2.5417,5,8.1899,1.21772739229557
73,5.5884,5,33.0409,1.64596134453885
80,5.968,5,39.4425,0.997882443348444
86,6.6596,5,54.4192,2.91934626039599
93,9.3493,5,67.5343,2.08313006293134
104,12.146,5,78.4392,1.06740195590615
113,19.8898,5,113.5987,4.67456454462423
118,24.7654,5,142.3801,6.43068775491541
128,34.1952,5,183.8915,4.70478436107895
147,51.5266,5,302.7344,7.94295308904013
168,68.3769,5,362.2375,3.09530599342887
189,98.3241,5,468.4042,5.73307835848821
211,92.5029,5,481.2715,0.592838142965327
224,82.4846,5,467.9321,-1.01175414812948
32,2.3934,7.3,7.7072,0.665060108571407
38,3.3895,7.3,12.9891,1.12995555321787
45,5.9325,7.3,24.241,2.16068645570348
67,11.5204,7.3,60.6136,2.52503549645488
73,15.753,7.3,79.3283,3.55755227827311
79,29.7015,7.3,106.2479,5.17392043482193
87,34.2274,7.3,155.9483,7.48063525250686
94,52.0251,7.3,206.7668,8.33172864380004
102,67.4922,7.3,206.4505,-0.0395072434671024
121,121.4961,7.3,394.3469,13.4320843880252
128,145.1469,7.3,479.1352,13.3303512424585
151,127.7606,7.3,491.9923,0.566438300580138
38,10.1729,10,40.7966,3.06265676686599
45,11.7818,10,54.0982,2.18094705395302
48,13.5918,10,61.9649,2.80426662114487
51,14.9489,10,67.7738,2.02434904876974
56,33.6864,10,80.3013,2.72398263430338
64,45.9186,10,139.5375,9.63763835748832
122,81.2656,10,345.0898,5.38739494146796
35,8.5189,10.2,35.9207,3.03019007289267
39,11.0826,10.2,50.8829,4.42952414573041
44,14.1087,10.2,63.6122,2.84064555858436
50,18.9655,10.2,80.267,3.11105931169052
63,52.4013,10.2,140.8176,6.08881067181572
67,60.8312,10.2,216.6393,23.3303369697088
78,120.4815,10.2,316.1974,10.8695139639598
86,140.7264,10.2,391.8391,10.5054312967351
24,7.878,12.5,25.7564,2.88779509795954
29,10.4362,12.5,41.2893,3.89705132742018
36,13.8982,12.5,55.5145,2.34779434283695
38,21.4298,12.5,69.7156,7.93990484532865
41,24.7829,12.5,93.6255,9.2027210724972
43,49.4035,12.5,129.8528,21.2373422654852
51,75.0466,12.5,208.4897,12.3396749889975
56,109.9617,12.5,281.8702,16.9999887337902
60,138.4223,12.5,282.4628,0.148305625229596
64,143.1437,12.5,291.6402,2.33122522528771
67,143.4181,12.5,289.9797,-0.551921280647948
70,127.0469,12.5,324.7164,12.2462748043352
74,137.4748,12.5,300.4837,-5.82627951437675
80,90.2503,12.5,297.7328,-0.456378213543189
85,90.0398,12.5,289.5563,-1.61263682648338
